user,item,date
1,7,1
1,4,2
1,9,3
1,3,4
1,2,5
1,2,6
1,10,7
1,9,8
1,2,9
1,9,10
1,6,11
1,6,12
1,9,13
1,5,14
1,6,15
1,3,16
1,8,17
1,10,18
1,5,19
1,10,20
1,6,21
1,2,22
1,5,23
1,2,24
1,5,25
1,6,26
1,5,27
1,8,28
1,3,29
1,7,30
1,4,31
1,4,32
1,9,33
1,9,34
1,5,35
1,2,36
1,6,37
1,2,38
1,9,39
1,1,40
1,5,41
1,2,42
1,6,43
1,2,44
1,5,45
1,2,46
1,9,47
1,9,48
1,9,49
1,9,50
1,9,51
1,5,52
1,2,53
1,6,54
1,2,55
1,3,56
1,8,57
1,6,58
1,2,59
1,5,60
1,2,61
1,9,62
1,8,63
1,9,64
1,9,65
1,7,66
1,4,67
1,5,68
1,6,69
1,7,70
1,4,71
1,10,72
1,10,73
1,5,74
1,2,75
1,10,76
1,6,77
1,2,78
1,5,79
1,10,80
1,6,81
1,2,82
1,5,83
1,2,84
1,5,85
1,1,86
1,1,87
1,2,88
1,9,89
1,5,90
1,1,91
1,9,92
1,9,93
1,7,94
1,4,95
1,4,96
1,9,97
1,5,98
1,10,99
1,5,100
1,2,101
1,9,102
1,6,103
1,5,104
1,8,105
1,5,106
1,2,107
1,9,108
1,1,109
1,1,110
1,9,111
1,7,112
1,7,113
1,4,114
1,4,115
1,4,116
1,4,117
1,3,118
1,4,119
1,10,120
1,5,121
1,2,122
1,6,123
1,2,124
1,9,125
1,8,126
1,9,127
1,9,128
2,3,1
2,9,2
2,2,3
2,5,4
2,7,5
2,5,6
2,10,7
2,5,8
2,10,9
2,5,10
2,10,11
2,5,12
2,4,13
2,5,14
2,10,15
2,5,16
2,10,17
2,5,18
2,10,19
2,9,20
2,4,21
2,5,22
2,1,23
2,5,24
2,3,25
2,5,26
2,10,27
2,5,28
2,7,29
2,5,30
2,10,31
2,5,32
2,3,33
2,5,34
2,10,35
2,5,36
2,1,37
2,6,38
2,4,39
2,5,40
2,10,41
2,5,42
2,2,43
2,9,44
2,4,45
2,5,46
2,4,47
2,9,48
2,4,49
2,8,50
2,4,51
2,5,52
2,10,53
2,5,54
2,3,55
2,5,56
2,10,57
2,5,58
2,10,59
2,5,60
2,10,61
2,5,62
2,4,63
2,5,64
2,10,65
2,5,66
2,10,67
2,5,68
2,10,69
2,5,70
2,10,71
2,5,72
2,10,73
2,5,74
2,4,75
2,5,76
2,10,77
2,3,78
2,4,79
2,9,80
2,4,81
2,2,82
2,4,83
2,5,84
2,2,85
2,9,86
2,4,87
2,8,88
2,4,89
2,5,90
2,2,91
2,8,92
2,4,93
2,8,94
2,4,95
2,4,96
2,8,97
2,4,98
2,4,99
2,8,100
2,4,101
2,4,102
2,1,103
2,4,104
2,5,105
2,10,106
2,5,107
2,10,108
2,5,109
2,8,110
2,5,111
2,10,112
2,5,113
2,10,114
2,5,115
2,7,116
2,5,117
2,10,118
2,5,119
2,10,120
2,5,121
2,10,122
2,5,123
2,10,124
2,5,125
2,8,126
2,5,127
2,7,128
3,10,1
3,5,2
3,10,3
3,6,4
3,3,5
3,6,6
3,2,7
3,7,8
3,4,9
3,5,10
3,1,11
3,6,12
3,8,13
3,9,14
3,4,15
3,5,16
3,5,17
3,6,18
3,4,19
3,5,20
3,2,21
3,9,22
3,2,23
3,5,24
3,1,25
3,1,26
3,4,27
3,10,28
3,4,29
3,5,30
3,6,31
3,2,32
3,4,33
3,5,34
3,2,35
3,6,36
3,4,37
3,6,38
3,8,39
3,6,40
3,4,41
3,5,42
3,3,43
3,6,44
3,8,45
3,6,46
3,4,47
3,7,48
3,4,49
3,5,50
3,1,51
3,6,52
3,3,53
3,5,54
3,8,55
3,2,56
3,4,57
3,5,58
3,8,59
3,6,60
3,4,61
3,6,62
3,4,63
3,6,64
3,4,65
3,5,66
3,1,67
3,1,68
3,3,69
3,6,70
3,8,71
3,6,72
3,4,73
3,2,74
3,4,75
3,5,76
3,8,77
3,9,78
3,3,79
3,2,80
3,4,81
3,5,82
3,1,83
3,1,84
3,10,85
3,9,86
3,3,87
3,3,88
3,8,89
3,7,90
3,4,91
3,5,92
3,3,93
3,8,94
3,4,95
3,6,96
3,4,97
3,9,98
3,6,99
3,1,100
3,1,101
3,4,102
3,1,103
3,1,104
3,3,105
3,2,106
3,2,107
3,7,108
3,4,109
3,5,110
3,5,111
3,1,112
3,6,113
3,4,114
3,8,115
3,5,116
3,8,117
3,9,118
3,8,119
3,5,120
3,6,121
3,6,122
3,4,123
3,5,124
3,1,125
3,1,126
3,4,127
3,6,128
4,2,1
4,9,2
4,5,3
4,5,4
4,10,5
4,5,6
4,5,7
4,6,8
4,6,9
4,5,10
4,1,11
4,6,12
4,6,13
4,3,14
4,6,15
4,10,16
4,6,17
4,5,18
4,1,19
4,1,20
4,1,21
4,10,22
4,5,23
4,10,24
4,9,25
4,10,26
4,9,27
4,3,28
4,1,29
4,6,30
4,1,31
4,6,32
4,10,33
4,6,34
4,2,35
4,6,36
4,3,37
4,6,38
4,10,39
4,6,40
4,9,41
4,5,42
4,8,43
4,1,44
4,9,45
4,1,46
4,4,47
4,5,48
4,10,49
4,9,50
4,5,51
4,10,52
4,1,53
4,1,54
4,5,55
4,3,56
4,5,57
4,10,58
4,6,59
4,10,60
4,10,61
4,9,62
4,10,63
4,6,64
4,6,65
4,6,66
4,10,67
4,10,68
4,5,69
4,6,70
4,10,71
4,6,72
4,10,73
4,5,74
4,6,75
4,5,76
4,1,77
4,6,78
4,9,79
4,1,80
4,6,81
4,10,82
4,6,83
4,10,84
4,6,85
4,6,86
4,6,87
4,3,88
4,10,89
4,9,90
4,3,91
4,6,92
4,10,93
4,9,94
4,1,95
4,9,96
4,1,97
4,3,98
4,5,99
4,6,100
4,10,101
4,6,102
4,3,103
4,3,104
4,5,105
4,6,106
4,3,107
4,1,108
4,10,109
4,1,110
4,1,111
4,5,112
4,3,113
4,1,114
4,5,115
4,10,116
4,9,117
4,5,118
4,6,119
4,6,120
4,10,121
4,3,122
4,1,123
4,10,124
4,3,125
4,5,126
4,1,127
4,1,128
5,6,1
5,8,2
5,6,3
5,2,4
5,9,5
5,9,6
5,2,7
5,9,8
5,3,9
5,9,10
5,5,11
5,3,12
5,9,13
5,6,14
5,6,15
5,9,16
5,3,17
5,9,18
5,2,19
5,1,20
5,8,21
5,4,22
5,10,23
5,6,24
5,9,25
5,5,26
5,9,27
5,2,28
5,6,29
5,9,30
5,10,31
5,9,32
5,9,33
5,10,34
5,6,35
5,10,36
5,6,37
5,2,38
5,6,39
5,8,40
5,7,41
5,5,42
5,1,43
5,4,44
5,3,45
5,6,46
5,9,47
5,7,48
5,8,49
5,2,50
5,6,51
5,2,52
5,6,53
5,1,54
5,7,55
5,10,56
5,4,57
5,5,58
5,10,59
5,9,60
5,2,61
5,6,62
5,8,63
5,9,64
5,8,65
5,3,66
5,9,67
5,10,68
5,5,69
5,2,70
5,10,71
5,2,72
5,9,73
5,8,74
5,2,75
5,9,76
5,3,77
5,6,78
5,2,79
5,2,80
5,2,81
5,2,82
5,9,83
5,10,84
5,7,85
5,7,86
5,3,87
5,2,88
5,2,89
5,9,90
5,9,91
5,3,92
5,9,93
5,10,94
5,5,95
5,8,96
5,5,97
5,1,98
5,9,99
5,5,100
5,2,101
5,2,102
5,2,103
5,9,104
5,6,105
5,6,106
5,2,107
5,2,108
5,9,109
5,8,110
5,2,111
5,2,112
5,6,113
5,6,114
5,5,115
5,1,116
5,10,117
5,3,118
5,6,119
5,2,120
5,2,121
5,9,122
5,1,123
5,6,124
5,2,125
5,6,126
5,8,127
5,2,128
